Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-308.4153747558594
51,474.4760437011719,-188.90301513671875
52,351.4487609863281,-0.0
53,290.08319091796875,-0.0
54,284.0669250488281,-0.0
55,191.40127563476562,-0.0
56,66.55266571044922,-550.7027587890625
57,0.0,-357.2771301269531
58,0.0,-309.0282897949219
59,0.0,-284.2235412597656
60,0.0,-293.4426574707031
61,0.0,-220.04534912109375
62,222.25033569335938,-28.111303329467773
63,349.67059326171875,-0.0
64,373.2364807128906,-0.0
65,326.599609375,-0.0
66,145.20791625976562,-0.0
67,99.97695922851562,-211.3759765625
68,8.544979095458984,-408.3579406738281
69,0.0,-459.6666259765625
70,0.0,-426.32354736328125
71,0.0,-396.7158203125
72,0.0,-272.844970703125
73,0.0,-90.96977996826172
74,247.03927612304688,-38.830448150634766
75,738.015625,-0.0
76,487.79510498046875,-0.0
77,379.0451354980469,-0.0
78,263.86578369140625,-0.0
79,155.91978454589844,-0.0
80,102.59317016601562,-0.0
81,13.984314918518066,-286.4837341308594
82,0.0,-327.9632568359375
83,0.0,-631.7385864257812
84,0.0,-370.384521484375
85,0.0,-336.0381164550781
86,0.0,-123.63240814208984
87,0.0,-88.40518951416016
88,269.5660095214844,-0.0
89,464.17889404296875,-0.0
90,454.5389099121094,-0.0
91,316.9334411621094,-0.0
92,193.21018981933594,-0.0
93,146.69027709960938,-176.63229370117188
94,88.76712799072266,-407.66253662109375
95,0.0,-523.2093505859375
96,0.0,-418.84417724609375
97,0.0,-318.7446594238281
98,0.0,-228.0047149658203
99,0.0,-137.2920379638672
100,0.0,-111.95339965820312
101,437.99761962890625,-0.0
102,505.6291198730469,-0.0
103,397.4644775390625,-0.0
104,256.68450927734375,-0.0
105,164.257568359375,-0.0
106,162.24990844726562,-0.0
107,129.6787872314453,-190.7714385986328
108,0.0,-430.3271789550781
109,0.0,-412.94097900390625
110,0.0,-369.14056396484375
111,0.0,-287.00579833984375
112,0.0,-149.0079803466797
113,0.0,-62.526206970214844
114,424.93084716796875,-0.0
115,476.60894775390625,-0.0
116,402.5611877441406,-0.0
117,294.7496032714844,-0.0
118,204.3271026611328,-0.0
119,154.3691864013672,-0.0
120,128.04217529296875,-218.23802185058594
121,0.0,-497.23577880859375
122,0.0,-412.6448974609375
123,0.0,-437.0526428222656
124,0.0,-308.5382995605469
125,0.0,-144.69802856445312
126,0.0,-103.44828033447266
127,305.48138427734375,-0.0
128,416.6778564453125,-0.0
129,376.0048522949219,-0.0
130,302.7447814941406,-0.0
131,232.11402893066406,-0.0
132,154.5306854248047,-0.0
133,137.1708221435547,-121.6853256225586
134,4.568987846374512,-608.7241821289062
135,0.0,-429.67919921875
136,0.0,-431.3976745605469
137,0.0,-270.6972961425781
138,0.0,-161.25338745117188
139,0.0,-141.61300659179688
140,730.8970336914062,-0.0
141,500.1422424316406,-0.0
142,463.9172668457031,-0.0
143,355.4462585449219,-0.0
144,168.3143310546875,-0.0
145,155.5504150390625,-0.0
146,110.77684020996094,-130.91864013671875
147,0.0,-745.044189453125
148,0.0,-400.864990234375
149,0.0,-404.5821533203125
150,0.0,-329.22625732421875
151,0.0,-202.5688934326172
152,0.0,-144.70065307617188
153,299.4696044921875,-0.0
154,451.60528564453125,-0.0
155,491.90362548828125,-0.0
156,348.1245422363281,-0.0
157,172.4839630126953,-0.0
158,158.7783203125,-0.0
159,160.0347442626953,-104.64842224121094
160,11.651474952697754,-546.7669067382812
161,0.0,-428.3603210449219
162,0.0,-451.5924377441406
163,0.0,-302.50244140625
164,0.0,-146.96490478515625
165,0.0,-129.91612243652344
166,509.627685546875,-0.0
167,559.9420166015625,-0.0
168,473.16748046875,-0.0
169,296.13916015625,-0.0
170,157.61386108398438,-0.0
171,135.05670166015625,-0.0
172,25.321313858032227,-327.6781921386719
173,0.0,-401.5077209472656
174,0.0,-437.21221923828125
175,0.0,-356.8113708496094
176,0.0,-249.2479248046875
177,0.0,-149.9044647216797
178,0.0,-93.05448913574219
179,607.8735961914062,-0.0
180,496.707763671875,-0.0
181,393.97576904296875,-0.0
182,308.6503601074219,-0.0
183,173.0603790283203,-0.0
184,134.574951171875,-325.95465087890625
185,0.0,-539.8696899414062
186,0.0,-406.8826599121094
187,0.0,-371.70477294921875
188,0.0,-280.1943664550781
189,0.0,-158.47743225097656
190,0.0,-84.10148620605469
191,531.725830078125,-0.0
192,439.2096862792969,-0.0
193,360.78857421875,-0.0
194,375.22430419921875,-0.0
195,162.6315155029297,-0.0
196,144.03591918945312,-0.0
197,111.14628601074219,-517.772705078125
198,0.0,-532.3693237304688
199,0.0,-426.33514404296875
200,0.0,-383.32403564453125
201,0.0,-257.40087890625
202,0.0,-139.5545196533203
203,177.32693481445312,-32.734161376953125
204,400.3466491699219,-0.0
205,342.9247131347656,-0.0
206,317.5286865234375,-0.0
207,187.42970275878906,-0.0
208,155.541259765625,-98.75651550292969
209,137.631591796875,-327.15283203125
210,2.595289468765259,-483.55902099609375
211,0.0,-479.0799255371094
212,0.0,-394.82550048828125
213,0.0,-343.1750793457031
214,0.0,-180.7571258544922
215,0.0,-144.17469787597656
216,287.21478271484375,-43.53910446166992
217,494.0789794921875,-0.0
218,484.7983703613281,-0.0
219,353.68170166015625,-0.0
220,291.10003662109375,-0.0
221,160.9833526611328,-0.0
222,152.89291381835938,-0.0
223,113.42646789550781,-226.16798400878906
224,0.0,-582.4545288085938
225,0.0,-420.2967224121094
226,0.0,-439.1483154296875
227,0.0,-307.2356872558594
228,0.0,-145.21176147460938
229,0.0,-86.73416900634766
230,725.1470336914062,-0.0
231,463.5933837890625,-0.0
232,425.014404296875,-0.0
233,236.8418426513672,-0.0
234,171.4645538330078,-0.0
235,140.62144470214844,-0.0
236,88.09746551513672,-318.8819274902344
237,0.0,-462.504638671875
238,0.0,-414.84283447265625
239,0.0,-418.0643005371094
240,0.0,-247.85430908203125
241,0.0,-150.3186492919922
242,0.0,-69.88404083251953
243,578.1987915039062,-0.0
244,498.4679260253906,-0.0
245,409.6591491699219,-0.0
246,325.3087463378906,-0.0
247,216.7176971435547,-0.0
248,136.1828155517578,-0.0
249,63.37653350830078,-267.65850830078125
250,0.0,-543.8482666015625
251,0.0,-439.4271240234375
252,0.0,-377.7591552734375
253,0.0,-229.427001953125
254,0.0,-126.34910583496094
255,219.4915771484375,-0.2587067782878876
256,419.0374755859375,-0.0
257,402.39129638671875,-0.0
258,425.1242980957031,-0.0
259,253.77781677246094,-0.0
260,155.67237854003906,-0.0
261,112.01788330078125,-252.15200805664062
262,0.0,-424.3692932128906
263,0.0,-360.0740966796875
264,0.0,-440.0407409667969
265,0.0,-234.7655487060547
266,0.0,-171.1058349609375
267,0.0,-114.36983489990234
268,341.7908020019531,-0.0
269,459.0389709472656,-0.0
270,415.62799072265625,-0.0
271,318.3323974609375,-0.0
272,249.72634887695312,-0.0
273,150.5087127685547,-0.0
274,149.98619079589844,-0.0
275,25.084733963012695,-294.8482666015625
276,0.0,-381.42877197265625
277,0.0,-450.8433837890625
278,0.0,-393.2141418457031
279,0.0,-294.7016906738281
280,0.0,-147.69786071777344
281,0.0,-142.03846740722656
282,399.003662109375,-0.0
283,486.7958984375,-0.0
284,432.42706298828125,-0.0
285,295.9686279296875,-0.0
286,207.1116943359375,-0.0
287,155.5556182861328,-0.0
288,118.93321228027344,-190.69964599609375
289,0.0,-462.9613037109375
290,0.0,-438.3003845214844
291,0.0,-465.753173828125
292,0.0,-325.00054931640625
293,0.0,-219.0127410888672
294,0.0,-150.1896209716797
295,0.0,-58.569671630859375
296,340.231689453125,-0.0
297,462.0862121582031,-0.0
298,358.4598693847656,-0.0
299,248.64102172851562,-0.0
300,161.27523803710938,-0.0
301,146.86663818359375,-293.973876953125
302,45.38343048095703,-711.0062866210938
303,0.0,-464.1470031738281
304,0.0,-465.5321960449219
305,0.0,-307.608642578125
306,0.0,-157.28675842285156
307,0.0,-141.51229858398438
308,239.6129913330078,-31.0543270111084
309,479.01422119140625,-0.0
310,450.4886169433594,-0.0
311,381.60595703125,-0.0
312,258.6601257324219,-0.0
313,164.90028381347656,-0.0
314,112.74846649169922,-277.2259521484375
315,0.0,-478.9196472167969
316,0.0,-453.1322021484375
317,0.0,-395.75823974609375
318,0.0,-211.83016967773438
319,0.0,-141.809326171875
320,0.0,-46.597511291503906
321,638.8153076171875,-0.0
322,446.1680908203125,-0.0
323,409.3827209472656,-0.0
324,251.3358612060547,-0.0
325,145.61424255371094,-0.0
326,140.63998413085938,-141.7332000732422
327,0.0,-497.2235107421875
328,0.0,-437.48193359375
329,0.0,-352.9466247558594
330,0.0,-277.9063415527344
331,0.0,-156.9378204345703
332,0.0,-93.25748443603516
333,479.7710876464844,-0.0
334,466.4278564453125,-0.0
335,421.4925231933594,-0.0
336,319.24505615234375,-0.0
337,161.9159393310547,-0.0
338,148.99322509765625,-0.0
339,63.94591522216797,-217.40386962890625
340,0.0,-491.83001708984375
341,0.0,-432.89752197265625
342,0.0,-395.56683349609375
343,0.0,-211.34335327148438
344,0.0,-152.07325744628906
345,0.0,-45.825340270996094
346,479.3958740234375,-0.0
347,473.1817626953125,-0.0
348,385.1357116699219,-0.0
349,203.5352783203125,-0.0
350,151.56007385253906,-0.0
