Timestep,left_hip_pitch_joint_Torque,left_hip_roll_joint_Torque,left_hip_yaw_joint_Torque,left_knee_joint_Torque,left_ankle_pitch_joint_Torque,left_ankle_roll_joint_Torque,right_hip_pitch_joint_Torque,right_hip_roll_joint_Torque,right_hip_yaw_joint_Torque,right_knee_joint_Torque,right_ankle_pitch_joint_Torque,right_ankle_roll_joint_Torque,left_hip_pitch_joint_Vel,left_hip_roll_joint_Vel,left_hip_yaw_joint_Vel,left_knee_joint_Vel,left_ankle_pitch_joint_Vel,left_ankle_roll_joint_Vel,right_hip_pitch_joint_Vel,right_hip_roll_joint_Vel,right_hip_yaw_joint_Vel,right_knee_joint_Vel,right_ankle_pitch_joint_Vel,right_ankle_roll_joint_Vel
50,-1.8533977270126343,10.398099899291992,-6.22905158996582,-39.463043212890625,-1.8921096324920654,1.7307004928588867,5.579452991485596,1.2813968658447266,-3.0434467792510986,2.360356092453003,-0.07043516635894775,-1.648747444152832,0.08427145332098007,0.1157221794128418,-0.17424488067626953,0.10240297764539719,-0.23682714998722076,0.16096051037311554,-0.04646749049425125,0.23910360038280487,-0.19985172152519226,0.4667391777038574,-0.21733081340789795,-2.469332456588745
51,-0.3370037078857422,-23.682079315185547,17.921049118041992,-62.389530181884766,-20.0,1.6766517162322998,30.60736846923828,30.649139404296875,-18.20876121520996,2.6960296630859375,-6.727115631103516,-3.0277676582336426,4.732311725616455,-0.26605695486068726,-0.19052979350090027,-2.122330665588379,0.053413450717926025,0.4234262704849243,4.868553638458252,0.7355802059173584,0.1774534285068512,0.727911651134491,-8.223549842834473,-0.19931569695472717
52,-31.649547576904297,-34.782405853271484,24.323192596435547,-52.45588684082031,-20.0,6.359682083129883,7.360660552978516,32.00180435180664,-22.10291290283203,-9.20116901397705,-4.775312423706055,-2.1510770320892334,4.925469398498535,-0.14767082035541534,0.0698382556438446,-1.915912389755249,-2.8628125190734863,-0.6580721139907837,5.062004089355469,2.2022719383239746,1.886744737625122,0.2005392462015152,-9.49662971496582,-0.3285578787326813
53,-16.11263084411621,-33.38422775268555,22.15491485595703,-35.707149505615234,-18.73375701904297,0.9381681680679321,-16.250144958496094,23.137033462524414,-23.395946502685547,-22.81025505065918,-20.0,4.90740966796875,4.255774974822998,-0.3448140025138855,0.5612159371376038,0.7188220024108887,-12.096339225769043,0.018521659076213837,4.945253372192383,2.148390531539917,2.4097070693969727,-2.2524006366729736,-0.0031919628381729126,-0.9882940649986267
54,-7.129812240600586,-18.993553161621094,16.566646575927734,-19.907230377197266,-18.65890121459961,-4.148193359375,-21.375516891479492,19.775650024414062,-21.9063720703125,-12.390643119812012,-20.0,1.0271244049072266,4.504519462585449,-0.726260781288147,0.26280537247657776,-2.700737714767456,-0.1378011852502823,0.753855288028717,4.05378532409668,1.2898367643356323,1.0531784296035767,-1.5783822536468506,-0.04438891261816025,-1.138526201248169
55,-3.3113460540771484,-28.70431137084961,17.85212516784668,5.74362325668335,-17.200328826904297,-0.33875489234924316,-17.323469161987305,25.78076171875,-23.915611267089844,-31.456928253173828,-20.0,0.17495125532150269,3.721980333328247,-0.9738709926605225,1.222122073173523,-0.7773581743240356,0.010549560189247131,-1.150617241859436,4.777016639709473,1.0136791467666626,0.6203734278678894,-2.16621470451355,-0.05389404296875,-0.40311282873153687
56,1.613382339477539,-20.655338287353516,10.517802238464355,6.432580471038818,-15.524173736572266,-0.05093264579772949,-25.33553695678711,21.226036071777344,-13.75925064086914,-41.57476043701172,-20.0,0.8403639793395996,4.546757698059082,-1.189401626586914,1.6012276411056519,0.056415002793073654,-0.0001390690158586949,-1.688644528388977,6.147055149078369,1.2338536977767944,0.8298728466033936,-3.200049877166748,0.16401273012161255,-1.4535611867904663
57,0.9728069305419922,-11.693094253540039,4.8667426109313965,3.238589286804199,-15.717869758605957,0.04200887680053711,-34.66315841674805,19.277658462524414,-9.24083137512207,-36.37212371826172,-20.0,0.40462779998779297,4.12091064453125,-1.2409100532531738,0.6260363459587097,1.0529192686080933,0.0012945273192599416,-2.473572015762329,5.787093639373779,2.013474225997925,0.8187032341957092,-3.406700372695923,-0.34451812505722046,-1.7634694576263428
58,8.640159606933594,-10.753865242004395,4.5410332679748535,4.2331862449646,-11.614699363708496,0.2462533712387085,-41.95212173461914,14.268817901611328,-5.552165985107422,-41.317440032958984,-20.0,1.0657562017440796,4.30295467376709,-1.4600340127944946,0.2524010241031647,1.1140315532684326,-0.00039422421832568944,-0.7869806289672852,4.985436916351318,2.0808966159820557,0.7328583002090454,-3.4005138874053955,-0.8524531126022339,-0.4527408182621002
59,-6.038265228271484,-7.456998825073242,4.373830318450928,-2.8956756591796875,-16.254831314086914,0.04411637783050537,-31.673290252685547,10.847965240478516,-4.084555625915527,-29.520706176757812,-20.0,-1.1459994316101074,5.412549018859863,-1.5181065797805786,0.2795953154563904,-3.8205208778381348,-0.004584836773574352,-0.6188668012619019,4.952789306640625,1.5501928329467773,0.1229122057557106,-3.7386255264282227,-0.36758995056152344,-0.2572702467441559
60,-0.5771389007568359,1.6038727760314941,2.1650846004486084,-19.47273826599121,-20.0,-10.029955863952637,-19.049076080322266,5.034150123596191,-4.186237812042236,-4.566169261932373,-20.0,1.7225699424743652,5.317613124847412,-1.4295624494552612,-0.8753163814544678,-2.6789772510528564,0.005528397858142853,3.4850447177886963,2.863348960876465,1.047366976737976,-0.2844838798046112,-0.9993752837181091,-0.15656372904777527,-0.7407902479171753
61,-14.375728607177734,8.114067077636719,-10.835681915283203,-63.374237060546875,-20.0,-14.955753326416016,-16.207744598388672,18.588747024536133,-8.122164726257324,1.3536758422851562,-14.093481063842773,0.15343976020812988,6.036160945892334,-0.3601038455963135,0.01817764900624752,-3.7768092155456543,0.007455706596374512,4.641361236572266,2.0400679111480713,0.6070345640182495,-1.637315273284912,3.6271603107452393,2.208775549661368e-05,-1.058424711227417
