Timestep,left_hip_pitch_joint_Torque,left_hip_roll_joint_Torque,left_hip_yaw_joint_Torque,left_knee_joint_Torque,left_ankle_pitch_joint_Torque,left_ankle_roll_joint_Torque,right_hip_pitch_joint_Torque,right_hip_roll_joint_Torque,right_hip_yaw_joint_Torque,right_knee_joint_Torque,right_ankle_pitch_joint_Torque,right_ankle_roll_joint_Torque,left_hip_pitch_joint_Vel,left_hip_roll_joint_Vel,left_hip_yaw_joint_Vel,left_knee_joint_Vel,left_ankle_pitch_joint_Vel,left_ankle_roll_joint_Vel,right_hip_pitch_joint_Vel,right_hip_roll_joint_Vel,right_hip_yaw_joint_Vel,right_knee_joint_Vel,right_ankle_pitch_joint_Vel,right_ankle_roll_joint_Vel
50,5.657368183135986,4.646488189697266,-3.8584494590759277,2.9295082092285156,0.06746278703212738,0.03233766555786133,-10.301589965820312,-5.519782066345215,11.435478210449219,-28.799175262451172,6.871126651763916,-1.2547712326049805,1.0029138326644897,0.33496764302253723,-0.7712583541870117,-2.957407236099243,0.0711079016327858,1.712118148803711,0.2284892201423645,0.37473317980766296,-0.5929082632064819,-0.5587657690048218,0.36758726835250854,-0.29982852935791016
51,14.201146125793457,8.092744827270508,-7.5311784744262695,-63.37675857543945,-20.0,14.433250427246094,-0.9834030866622925,9.227521896362305,-4.914055347442627,12.70805549621582,0.034900665283203125,0.09263229370117188,2.557694435119629,-0.11375710368156433,-0.05464905872941017,-2.047337055206299,5.046555519104004,-2.1886000633239746,0.5448575615882874,0.28458312153816223,0.09231768548488617,6.174627304077148,-3.536494731903076,0.2881487309932709
52,-10.867383003234863,18.805294036865234,-13.70411491394043,-88.39967346191406,-20.0,11.761063575744629,-8.442978858947754,3.6811957359313965,-2.9344472885131836,0.9932060241699219,0.38043832778930664,0.09110569953918457,1.8041374683380127,-0.34948888421058655,0.5373179912567139,-1.0259485244750977,-0.30229005217552185,0.05146646499633789,-0.1953200399875641,0.04508696496486664,0.3613690137863159,8.61991024017334,-1.7481493949890137,1.8306677341461182
53,-19.83287811279297,20.720256805419922,-17.319461822509766,-79.44922637939453,-20.0,10.787586212158203,-6.4112868309021,3.9945085048675537,-4.326163291931152,-9.342618942260742,-0.07170301675796509,-0.06865549087524414,1.6500779390335083,-0.23799501359462738,0.5429518818855286,-1.616638422012329,0.05633920431137085,-0.06872344017028809,0.25010064244270325,0.02760007046163082,-0.5790904760360718,5.388233661651611,-0.20247085392475128,2.0825908184051514
54,-12.52927303314209,16.909221649169922,-16.458044052124023,-65.47135925292969,-20.0,9.83930778503418,-10.1588134765625,0.21157199144363403,0.8656148910522461,-8.405667304992676,-0.4261772632598877,-0.2416384220123291,1.6630594730377197,-0.4694134593009949,0.5234227180480957,-2.2581777572631836,0.8453665375709534,0.11542987823486328,0.7261452078819275,-0.1529092639684677,-0.5633195638656616,2.325003147125244,-1.170199990272522,1.0625289678573608
55,-25.011249542236328,13.49039363861084,-19.04451560974121,-62.95302200317383,-20.0,5.002399444580078,-1.5071473121643066,-0.09808628261089325,1.3726167678833008,-5.566005229949951,-0.32124996185302734,-0.14347386360168457,1.3929316997528076,-0.4533337354660034,0.4839076101779938,-2.405195474624634,0.293714314699173,0.3111211061477661,1.3378700017929077,0.015475291758775711,-0.4173680543899536,-1.4031845331192017,-3.02571177482605,0.5495890974998474
56,-6.959665298461914,12.677440643310547,-19.305099487304688,-46.3458137512207,-19.40760612487793,1.9510786533355713,-4.504711151123047,-3.072352647781372,2.4180145263671875,3.1786880493164062,0.17699193954467773,-0.08406049013137817,1.0463151931762695,-0.3974584639072418,0.8138949275016785,-0.7126227021217346,-3.8472044467926025,0.7117125391960144,1.6214234828948975,-0.09610351175069809,0.016484886407852173,-2.0734479427337646,-3.2674267292022705,0.32239270210266113
57,-5.796725273132324,17.893096923828125,-16.10312843322754,-26.6955509185791,-8.909173965454102,-2.266580581665039,-5.120505332946777,-6.6658196449279785,3.232861042022705,0.8007755279541016,0.057305335998535156,-0.09814023971557617,0.610281765460968,-0.6234397292137146,0.14889758825302124,-0.5073734521865845,-3.379074811935425,0.5411405563354492,1.640832543373108,-0.40402674674987793,0.03231918066740036,-3.735704183578491,-9.634127491153777e-05,-0.48066505789756775
58,4.7074055671691895,3.402327537536621,-2.0192782878875732,6.454868316650391,0.6398048400878906,-0.14252710342407227,-1.5677804946899414,-6.6682586669921875,3.519935369491577,-1.8237686157226562,-16.03682518005371,-0.020984649658203125,0.1812184900045395,-0.1173500195145607,0.3183235824108124,3.5681869983673096,-2.518449068069458,-1.4763026237487793,2.623887777328491,-0.4212513267993927,0.14118751883506775,-7.382487773895264,3.2284093322232366e-05,-0.763455867767334
59,-4.297573089599609,-6.150906562805176,3.6360607147216797,-1.382049560546875,0.42487794160842896,0.0026540756225585938,-2.1647520065307617,-1.663999319076538,2.201108932495117,4.205997467041016,-19.961029052734375,-0.02897500991821289,-1.0206139087677002,-0.38703352212905884,1.063228726387024,6.235988140106201,-0.20678070187568665,-2.574747323989868,2.5629308223724365,-0.6781333088874817,0.7423846125602722,-9.635968208312988,5.3824380302103236e-05,-1.5784540176391602
60,-2.329225540161133,-2.5163826942443848,2.758946657180786,-2.021991729736328,0.01934957504272461,0.15085077285766602,3.2554585933685303,-5.109539985656738,1.8034743070602417,-59.42824172973633,-20.0,11.770231246948242,-0.48452281951904297,0.009053900837898254,0.5408700108528137,7.629449844360352,0.7230047583580017,-2.836026430130005,0.8536780476570129,-0.0051298364996910095,-0.3106454014778137,0.02497422695159912,0.79777592420578,-5.849617004394531
61,-12.707225799560547,-6.306347370147705,3.6378655433654785,-8.950252532958984,-0.41740238666534424,0.280930757522583,-11.312414169311523,-1.3213629722595215,12.489805221557617,-72.1141586303711,-20.0,-1.5620771646499634,-0.3668958246707916,0.1958322376012802,0.7947655916213989,5.875649452209473,0.5916756987571716,-1.2599817514419556,0.015193141996860504,0.12472699582576752,-0.016843736171722412,1.311924934387207,-2.06132435798645,1.0412561893463135
62,-25.708290100097656,1.7746423482894897,-0.4061305522918701,-15.617259979248047,-0.7665882110595703,0.3065369129180908,-0.15031814575195312,-9.66465950012207,14.63534927368164,-64.79554748535156,-16.741870880126953,2.278258800506592,-0.17751401662826538,0.38831788301467896,0.46501362323760986,1.1279114484786987,-0.40875735878944397,1.7969841957092285,-0.3821181058883667,0.6481143832206726,-0.24047066271305084,0.4954116642475128,2.9997293949127197,-1.0715545415878296
63,-8.970200538635254,0.340620756149292,-1.2264479398727417,-0.3366040587425232,-0.14816761016845703,-0.03675556182861328,-11.448331832885742,-18.16586685180664,26.226825714111328,-74.84353637695312,-9.457947731018066,8.201411247253418,0.17856714129447937,-0.24082981050014496,-0.2548680007457733,-0.3510439991950989,-0.6127411127090454,3.208810567855835,0.5568913221359253,0.35352349281311035,-0.3211888372898102,0.10115105658769608,-0.7799546122550964,-0.1885395646095276
