Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-373.6580505371094
51,0.0,-185.61927795410156
52,736.0116577148438,-0.0
53,429.9490051269531,-0.0
54,482.4141845703125,-0.0
55,358.7287292480469,-0.0
56,269.2771911621094,-0.0
57,75.75447082519531,-0.0
58,0.0,-0.0
59,0.0,-315.9674987792969
60,0.0,-390.3980407714844
61,0.0,-367.1709899902344
62,0.0,-305.9852600097656
63,0.0,-270.4173278808594
64,0.0,-228.91909790039062
65,0.0,-216.9263153076172
66,330.1516418457031,-98.93294525146484
67,583.2781982421875,-0.0
68,597.5538940429688,-0.0
69,483.7716979980469,-0.0
70,318.1075439453125,-0.0
71,143.9839630126953,-0.0
72,134.92811584472656,-0.0
73,30.353036880493164,-379.7203063964844
74,0.0,-458.8200988769531
75,0.0,-404.61297607421875
76,0.0,-373.73052978515625
77,0.0,-367.0026550292969
78,0.0,-301.80047607421875
79,0.0,-239.93527221679688
80,0.0,-236.3765411376953
81,0.0,-224.56607055664062
82,0.0,-142.7161407470703
83,0.0,-129.8281707763672
84,910.586181640625,-0.0
85,514.592041015625,-0.0
86,442.6211242675781,-0.0
87,297.9542541503906,-0.0
88,161.0688934326172,-0.0
89,146.12831115722656,-0.0
90,59.113861083984375,-0.0
91,0.0,-771.5825805664062
92,0.0,-415.9962158203125
93,0.0,-434.9901123046875
94,0.0,-401.5408020019531
95,0.0,-362.8280029296875
96,0.0,-259.50225830078125
97,0.0,-186.15853881835938
98,0.0,-149.1776123046875
99,0.0,-94.09440612792969
100,630.393798828125,-0.0
101,557.9192504882812,-0.0
102,488.7919006347656,-0.0
103,295.1180725097656,-0.0
104,156.74713134765625,-0.0
105,111.47447967529297,-0.0
106,0.0,-0.0
107,0.0,-209.11312866210938
108,0.0,-398.9243469238281
109,0.0,-401.1923828125
110,0.0,-406.68902587890625
111,0.0,-369.124267578125
112,0.0,-259.18280029296875
113,0.0,-149.96994018554688
114,0.0,-137.1797332763672
115,464.4400939941406,-0.0
116,564.72607421875,-0.0
117,520.3516235351562,-0.0
118,390.71771240234375,-0.0
119,272.17095947265625,-0.0
120,138.71878051757812,-0.0
121,128.04043579101562,-0.0
122,0.0,-186.56227111816406
123,0.0,-236.9222412109375
124,0.0,-405.6160888671875
125,0.0,-363.129150390625
126,0.0,-348.64556884765625
127,0.0,-339.4411926269531
128,0.0,-193.08897399902344
